"year","carrier_name","arrivals","delayed","cancelled","diverted","arrivals_delays","carrier_delays","on_time","arr_delay","carrier_delay"
2011,"Southwest Airlines Co.",1155717,201394,12147,2272,10082029,2665593,0.825741076751488,8.7236139989288,2.30644093666529
2012,"American Airlines Inc.",525220,109752,9569,1777,6203856,2140405,0.791036137237729,11.8119188149728,4.0752541792011
2012,"American Eagle Airlines Inc.",473140,75466,10373,1192,4484349,1449895,0.840499640698313,9.47784799425117,3.06441011117217
2012,"Delta Air Lines Inc.",662973,84918,2458,1182,4759818,1811461,0.871913335837206,7.17950504771688,2.73232997422218
2012,"SkyWest Airlines Inc.",514086,86086,9785,1038,4738090,1146650,0.83254552740203,9.21653186431842,2.23046338550359
2012,"Southwest Airlines Co.",1140535,180969,9580,1880,8821656,2598575,0.84132972683872,7.73466487218718,2.27838251346956
2013,"American Airlines Inc.",493626,97695,8780,1657,5607043,1710508,0.802087005141544,11.3588891184824,3.4651902452464
2013,"American Eagle Airlines Inc.",401154,96982,14807,921,6066110,1568519,0.758242470472686,15.1216490425124,3.91001710066458
2013,"Delta Air Lines Inc.",754670,113157,2435,1343,6634527,2691572,0.850057641088158,8.79129553314694,3.56655491804365
2013,"SkyWest Airlines Inc.",365702,68697,8722,934,4051363,1045548,0.81215033005015,11.0783178653658,2.85901635758076
2013,"Southwest Airlines Co.",1130704,252944,8440,2101,11652537,3177218,0.776295122330866,10.3055591914418,2.80994672345724
2014,"American Airlines Inc.",176277,33760,4549,529,1944427,633079,0.808483239447007,11.0305201472682,3.59138741866494
2014,"American Eagle Airlines Inc.",99989,25045,8358,264,1542855,390147,0.749522447469222,15.430247327206,3.90189920891298
2014,"Delta Air Lines Inc.",113131,24044,5553,189,1594895,582959,0.787467626026465,14.0977716099036,5.15295542335876
2014,"SkyWest Airlines Inc.",45555,10785,2188,178,636023,159923,0.763253210405005,13.9616507518384,3.51054768960597
2014,"Southwest Airlines Co.",376636,102863,8826,919,5162471,1504273,0.726890153888635,13.7067911723786,3.993970305547
